star_id,Fe,Fe_err,C,C_err,O,O_err,raj2000,raj2000_err,decj2000,decj2000_err,x_pos,x_pos_err,y_pos,y_pos_err,z_pos,z_pos_err,dist,dist_err,disk,sptype,vmag,vmag_err,bv,bv_err,u_vel,u_vel_err,v_vel,v_vel_err,w_vel,w_vel_err,teff,teff_err,logg,logg_err,mass,mass_err,rad,rad_err,
2MASS J04015888+0958234 ,-0.16 ,0.04 ,,,,,60.49533987 ,-9.6e-09/9.6e-09 ,9.97315756 ,-5.11e-09/5.11e-09 ,33.003 ,,58.321 ,,11.784 ,,68.04 ,-0.189/0.19 ,N/A ,M1.9 ,,,,,,,,,,,4342.0 ,-326.0/233.0 ,4.67 ,-0.0103/0.0103 ,0.57 ,-0.0204/0.0204 ,0.57 ,-0.0171/0.0171 ,
2MASS J04204470+1805588 ,-0.53 ,0.04 ,,,,,65.18623676 ,-1.04e-08/1.04e-08 ,18.09971404 ,-6.45e-09/6.45e-09 ,40.284 ,,87.128 ,,31.374 ,,100.99 ,-0.867/0.882 ,N/A ,M5.75 ,,,,,,,,,,,3453.0 ,-172.0/243.0 ,4.69 ,-0.0101/0.0101 ,0.55 ,-0.0204/0.0204 ,0.56 ,-0.0168/0.0168 ,
2MASS J04563213+3023256 ,-0.23 ,0.04 ,,,,,74.13391261 ,-6.6e-09/6.6e-09 ,30.39046592 ,-3.37e-09/3.37e-09 ,22.768 ,,80.108 ,,48.842 ,,96.55 ,-0.252/0.246 ,N/A ,,,,,,,,,,,,3572.4 ,-0.957/0.985 ,4.84 ,-0.00258/0.00258 ,0.38 ,-0.0203/0.0203 ,0.39 ,-0.0116/0.0116 ,
2MASS J04583735-0449416 ,-0.18 ,0.04 ,-0.94 ,0.09 ,,,74.65564449 ,-2.47e-09/2.47e-09 ,-4.82820393 ,-1.86e-09/1.86e-09 ,44.148 ,,160.889 ,,-14.092 ,,167.43 ,-0.437/0.44 ,N/A ,,,,,,,,,,,,5010.4 ,-9.63/9.31 ,4.49 ,-0.102/0.102 ,0.74 ,-0.0926/0.0926 ,0.81 ,-0.0627/0.0627 ,
2MASS J05054156+0940374 ,-0.26 ,0.04 ,,,,,76.42318495 ,-4.2e-09/4.2e-09 ,9.67705593 ,-3.01e-09/3.01e-09 ,14.909 ,,61.736 ,,10.830 ,,64.43 ,-0.213/0.214 ,N/A ,,,,,,,,,,,,4056.0 ,-184.0/173.0 ,4.78 ,-0.0063/0.0063 ,0.45 ,-0.0202/0.0202 ,0.46 ,-0.0135/0.0135 ,
2MASS J05211072-0218559 ,-0.45 ,0.04 ,,,,,80.29468721 ,-2.91e-09/2.91e-09 ,-2.31557272 ,-2.11e-09/2.11e-09 ,15.973 ,,93.393 ,,-3.831 ,,94.83 ,-0.662/2.251 ,N/A ,,,,,,,,,,,,3930.4 ,-12.3/23.4 ,4.74 ,-0.00804/0.00804 ,0.50 ,-0.0203/0.0203 ,0.50 ,-0.0148/0.0148 ,
2MASS J05212919-0152416 ,-0.41 ,0.04 ,,,,,80.37164056 ,-4.5e-09/4.5e-09 ,-1.87826566 ,-3.14e-09/3.14e-09 ,15.079 ,,88.886 ,,-2.957 ,,90.20 ,-0.232/0.342 ,N/A ,,,,,,,,,,,,3566.8 ,-4.1/5.24 ,4.82 ,-0.0039/0.0039 ,0.40 ,-0.0203/0.0203 ,0.41 ,-0.0122/0.0122 ,
2MASS J05234217+0334160 ,-0.21 ,0.04 ,,,,,80.92573297 ,-4.8e-09/4.8e-09 ,3.57110805 ,-3.49e-09/3.49e-09 ,12.553 ,,78.598 ,,4.967 ,,79.75 ,-0.201/0.296 ,N/A ,,,,,,,,,,,,3596.7 ,-10.59/9.89 ,4.80 ,-0.00529/0.00529 ,0.43 ,-0.0204/0.0204 ,0.43 ,-0.0129/0.0129 ,
2MASS J05261736+0054216 ,-1.49 ,0.04 ,-0.72 ,0.09 ,,,81.57231030 ,-7.22e-09/7.22e-09 ,0.90601205 ,-5.69e-09/5.69e-09 ,47.927 ,,323.478 ,,5.171 ,,327.05 ,-6.6/4.98 ,N/A ,,,,,,,,,,,,5639.9 ,-9.18/9.4 ,4.17 ,-0.0838/0.0838 ,0.84 ,-0.104/0.104 ,1.24 ,-0.0704/0.0704 ,
2MASS J05273150+0341585 ,-0.30 ,0.04 ,,,,,81.88128224 ,-3.44e-09/3.44e-09 ,3.69961243 ,-2.58e-09/2.58e-09 ,9.865 ,,69.155 ,,4.517 ,,70.00 ,-0.218/0.22 ,N/A ,M2.0 ,,,,,,,,,,,4132.0 ,-106.0/292.0 ,4.71 ,-0.00914/0.00914 ,0.53 ,-0.0203/0.0203 ,0.53 ,-0.0158/0.0158 ,
2MASS J05284287-0020406 ,-0.70 ,0.04 ,-0.40 ,0.09 ,,,82.17861172 ,-8.97e-09/8.97e-09 ,-0.34466359 ,-7.4e-09/7.4e-09 ,57.985 ,,422.128 ,,-2.563 ,,426.10 ,-12.4/11.6 ,N/A ,,,,,,,,,,,,5584.4 ,-48.0/55.6 ,3.93 ,-0.112/0.112 ,0.90 ,-0.11/0.11 ,1.70 ,-0.17/0.17 ,
2MASS J05301612+1142537 ,-0.21 ,0.04 ,,,,,82.56718854 ,-3.72e-09/3.72e-09 ,11.71493830 ,-2.84e-09/2.84e-09 ,11.893 ,,91.164 ,,19.064 ,,93.89 ,-0.313/0.569 ,N/A ,M2.1 ,,,,,,,,,,,3836.0 ,-4.27/1.62 ,4.72 ,-0.00884/0.00884 ,0.52 ,-0.0203/0.0203 ,0.52 ,-0.0155/0.0155 ,
2MASS J05302578+0330277 ,-0.32 ,0.04 ,,,,,82.60746370 ,-4.44e-09/4.44e-09 ,3.50766846 ,-3.58e-09/3.58e-09 ,10.052 ,,77.476 ,,4.789 ,,78.27 ,-0.248/0.25 ,N/A ,M2.3 ,,,,,,,,,,,4087.0 ,-278.0/151.0 ,4.75 ,-0.0078/0.0078 ,0.49 ,-0.0203/0.0203 ,0.49 ,-0.0146/0.0146 ,
2MASS J05311096+0119175 ,-0.08 ,0.04 ,-0.66 ,0.09 ,,,82.79569903 ,-3.61e-09/3.61e-09 ,1.32153536 ,-3.24e-09/3.24e-09 ,42.878 ,,339.210 ,,7.888 ,,342.00 ,-3.69/2.8 ,N/A ,,,,,,,,,,,,5259.1 ,-17.5/44.5 ,4.14 ,-0.0854/0.0854 ,0.89 ,-0.101/0.101 ,1.34 ,-0.0846/0.0846 ,
2MASS J05313332-0150443 ,-0.12 ,0.04 ,,,,,82.88886761 ,-3.59e-09/3.59e-09 ,-1.84567443 ,-3.38e-09/3.38e-09 ,11.248 ,,90.158 ,,-2.928 ,,90.90 ,-0.0711/0.0896 ,N/A ,,,,,,,,,,,,3857.1 ,-0.864/1.052 ,4.70 ,-0.0095/0.0095 ,0.54 ,-0.0204/0.0204 ,0.54 ,-0.0162/0.0162 ,
